country,article_name,revision_id,article_quality,population
Algeria,Template:Algeria-politician-stub,544347736,Stub,42.7
Algeria,Template:Algeria-diplomat-stub,567620838,Stub,42.7
Algeria,Ahmed Attaf,705910185,Stub,42.7
Algeria,Ahmed Djoghlaf,707427823,Stub,42.7
Algeria,Salah Goudjil,708980561,Stub,42.7
Algeria,Yazid Zerhouni,711888752,Stub,42.7
Algeria,Mustapha Stambouli,713635313,Stub,42.7
Algeria,Rabeh Kebir,721935284,Stub,42.7
Algeria,Mahmoud Cherif,722113361,Stub,42.7
Algeria,Abderrachid Boukerzaza,740706219,Stub,42.7
Algeria,Lamine Khene,746936441,Stub,42.7
Algeria,Mohamed Ben Ahmed Abdelghani,764203869,Stub,42.7
Algeria,Omar Oussedik,766079623,Start,42.7
Algeria,Mohamed Salah Dembri,766231134,Stub,42.7
Algeria,Djilali Mehri,772651059,Stub,42.7
Algeria,Abdennour Abrous,782192657,Stub,42.7
Algeria,Abane Ramdane,785742807,Stub,42.7
Algeria,Fatiha Serour,787988818,Stub,42.7
Algeria,Amar Ghoul,788748788,Stub,42.7
Algeria,List of mayors of Oran,791295370,Start,42.7
Algeria,List of mayors of Algiers,791312936,Stub,42.7
Algeria,Mohamed Belouizdad,791704982,Stub,42.7
Algeria,Bouguerra Soltani,794692299,Stub,42.7
Algeria,Ibrahim Bey,795485624,Start,42.7
Algeria,Boudina Mostefa,796600973,Stub,42.7
Algeria,Chara Bachir,796608168,Stub,42.7
Algeria,Draoui Mohamed,796627766,Stub,42.7
Algeria,Kara Baya,796666436,Stub,42.7
Algeria,Lakhdar Ben Tobbal,800725950,Start,42.7
Algeria,Amar Abba,804372706,Stub,42.7
Algeria,Hammi Larouissi,807553513,Stub,42.7
Algeria,Abderrahmane Benkhalfa,809441783,Stub,42.7
Algeria,Abdeslam Bouchouareb,810931451,Stub,42.7
Algeria,Saïd Sadi,813062222,Start,42.7
Algeria,Karim Djoudi,814002644,Stub,42.7
Algeria,Abdelhamid Brahimi,817088811,Stub,42.7
Algeria,Lyès Deriche,817905189,Start,42.7
Algeria,Zahra Dardouri,818593516,Stub,42.7
Algeria,Mounia Meslem,818593864,Stub,42.7
Algeria,Nouara Saadia,818593962,Stub,42.7
Algeria,Nouria Yamina Zerhouni,818594124,Stub,42.7
Algeria,Said Djinnit,819109651,Start,42.7
Algeria,Mahfoud Nahnah,820846101,Start,42.7
Algeria,Abdallah Djaballah,820847122,Stub,42.7
Algeria,Ali Fawzi Rebaine,820847302,Stub,42.7
Algeria,Abdelhamid Temmar,824043569,Stub,42.7
Algeria,Mourad Medelci,824408204,Start,42.7
Algeria,Mohammed Saleh Bendjelloul,831050061,Stub,42.7
Algeria,Bakhti Belaïb,831050553,Stub,42.7
Algeria,Ali Boumendjel,831050759,Start,42.7
Algeria,Krim Belkacem,831050862,Start,42.7
Algeria,Kasdi Merbah,831050896,Start,42.7
Algeria,Nadia Boubeghla,831050943,Stub,42.7
Algeria,Fatiha Boudiaf,831050980,Start,42.7
Algeria,Farida Haddouche,831051072,Stub,42.7
Algeria,Mohamed Khemisti,834333493,Stub,42.7
Algeria,Mohamed Boudia,835237129,Start,42.7
Algeria,Nouria Benghabrit-Remaoun,835900477,Stub,42.7
Algeria,Ahmed Tewfik El Madani,835993580,Stub,42.7
Algeria,Saad Dahlab,836030239,Start,42.7
Algeria,Azzedine Mihoubi,837579778,Start,42.7
Algeria,Zuhur Wanasi,837650454,Start,42.7
Algeria,Smail Hamdani,838575483,Start,42.7
Algeria,Ahmed Benbitour,838577570,Start,42.7
Algeria,Mokdad Sifi,838578343,Stub,42.7
Algeria,Ahmed Bey ben Mohamed Chérif,839035582,Start,42.7
Algeria,Redha Malek,839812154,Start,42.7
Algeria,Sid Ahmed Ghozali,840154848,Stub,42.7
Algeria,Mourad Benmehidi,840156768,Start,42.7
Algeria,Ramtane Lamamra,840156993,Start,42.7
Algeria,Salah Bey ben Mostefa,841347486,Stub,42.7
Algeria,Ali Haroun,841365349,Stub,42.7
Algeria,Abdelmalek Benhabyles,841380451,Stub,42.7
Algeria,Rabah Bitat,841613546,Start,42.7
Algeria,Abdelhafid Boussouf,843751574,Stub,42.7
Algeria,Mouloud Hamrouche,845940875,Stub,42.7
Algeria,Abdelkader Hachani,846231621,Start,42.7
Algeria,Cheikh Mokrani,846419396,Start,42.7
Algeria,Tahar Touati,846445286,Start,42.7
Algeria,Said Boualam,846448612,Start,42.7
Algeria,Ali Kafi,846603442,Start,42.7
Algeria,Souad Bendjaballah,846920392,Stub,42.7
Algeria,Maurice Laban,847331880,Stub,42.7
Algeria,Abderrahmane Farès,847493093,Start,42.7
Algeria,Mohamed Khider,847493850,Start,42.7
Algeria,Jacques Chevallier,847577350,Start,42.7
Algeria,Hocine Aït Ahmed,848244968,Start,42.7
Algeria,Naima Farhi,848333961,Stub,42.7
Algeria,Liamine Zéroual,852163012,Start,42.7
Algeria,Zohra Drif,852252219,C,42.7
Algeria,Mohamed Seghir Boushaki,852448151,GA,42.7
Algeria,Mohamed Deriche,853687790,C,42.7
Algeria,Belaid Abdessalam,854334343,Stub,42.7
Algeria,Fatma Zohra Ksentini,856595663,Start,42.7
Algeria,Emir Abdelkader,858520618,B,42.7
Algeria,Louisa Hanoune,860274904,C,42.7
Algeria,Benaouda Hadj Hacène Bachterzi,860939241,Stub,42.7
Algeria,Boualem Bessaïh,860939680,Start,42.7
Algeria,Mouloud Kacem Naît Belkacem,861081765,Stub,42.7
Algeria,Lakhdar Brahimi,861608580,C,42.7
Algeria,Abdelmalek Sellal,861779025,Start,42.7
Algeria,Abdelmadjid Tebboune,861779054,Start,42.7
Algeria,Ferhat Abbas,861980652,GA,42.7
Algeria,Ahmed Ouyahia,862557419,GA,42.7
Algeria,Ahmed Ben Bella,863451521,C,42.7
Algeria,Lalla Fatma N'Soumer,864020243,Start,42.7
Algeria,Abdelaziz Bouteflika,864400676,C,42.7
Algeria,Ferhat Mehenni,864554263,Start,42.7
Algeria,Mhamed Yazid,864574137,Start,42.7
Algeria,Mohamed Boudiaf,865042869,C,42.7
Algeria,"List of beys of Constantine, Algeria",865059680,Start,42.7
Algeria,Myriam Ben,865346649,Start,42.7
Algeria,Fatima Zohra Karadja,865996718,Start,42.7
Egypt,Template:Egypt-politician-stub,561071682,Stub,97.0
Egypt,Ihab el-Sherif,705264062,Start,97.0
Egypt,Ali El-Sayed Ali Al-Moselhi,710831684,Stub,97.0
Egypt,Ismail El-Gawsaqi,712237399,Stub,97.0
Egypt,Umar al-Tilmisani,714741437,Start,97.0
Egypt,Yousry Saber Hussein El-Gamal,715206646,Stub,97.0
Egypt,Mohammed Habib,716599243,Stub,97.0
Egypt,Mohamed Abdul Salam Mahgoub,719039652,Stub,97.0
Egypt,Stephan Bassily,720605479,Start,97.0
Egypt,Mahmoud al-Saqa,721188244,Stub,97.0
Egypt,Mohammed Murad Ghaleb,721302683,Stub,97.0
Egypt,George Messiha,722226891,Stub,97.0
Egypt,Yasser Ali,722340898,Stub,97.0
Egypt,Mohamed Mahsoub,722586870,Start,97.0
Egypt,Abdel Ahad Gamal El Din,737848237,Stub,97.0
Egypt,Abdel Wahab el-Beshry,744730085,Stub,97.0
Egypt,Abdel Fattah Yahya Pasha,745837038,Stub,97.0
Egypt,Muttalib ibn Abdallah ibn Malik,747063138,Stub,97.0
Egypt,Numan Gumaa,750722991,Stub,97.0
Egypt,Muhammad Hassanein,751568055,Stub,97.0
Egypt,Farkhonda Hassan,757292312,Start,97.0
Egypt,Mohamed Mahmoud Pasha,765119973,Stub,97.0
Egypt,Hassan Tuhami,767190897,Start,97.0
Egypt,Galal al-Morra,767649266,Stub,97.0
Egypt,Atef Sedky,777704347,Start,97.0
Egypt,Abdelfattah al-Banna,780493806,Stub,97.0
Egypt,Ahmed Naguib el-Hilaly,782105531,Start,97.0
Egypt,Ma'mun al-Hudaybi,786991557,Stub,97.0
Egypt,Ahmed El Maghrabi,788271050,Start,97.0
Egypt,Mansour Hassan,788463189,Start,97.0
Egypt,Sherif Kamal Shahine,788538311,Stub,97.0
Egypt,Ziad Bahaa-Eldin,793963147,Start,97.0
Egypt,Nasser al-Hafi,799976520,Stub,97.0
Egypt,Fouad Serageddin,800800878,Start,97.0
Egypt,Abdel Khalek Sarwat Pasha,801235112,Stub,97.0
Egypt,Fakhri 'Abd al-Nur,801629851,Stub,97.0
Egypt,Makram Ebeid,801631053,Start,97.0
Egypt,Laila Takla,801634105,Start,97.0
Egypt,Moheb Stino,801634338,Stub,97.0
Egypt,El-Sayyid el-Badawi,802090674,Stub,97.0
Egypt,Mamdouh Shahin,802090766,Stub,97.0
Egypt,Zakaria Azmi,802091037,Start,97.0
Egypt,Haitham Mohamedain,802091196,Start,97.0
Egypt,Abbud Pasha,807107456,Start,97.0
Egypt,Hillel Schwartz,807322896,Stub,97.0
Egypt,Hala Shukrallah,807484578,Stub,97.0
Egypt,Ibrahim Abdel Hady Pasha,807649207,Stub,97.0
Egypt,Mahmoud Fawzi,809987662,Start,97.0
Egypt,Rawya Ateya,810139884,C,97.0
Egypt,Bahey El Din Barakat Pasha,810541348,Start,97.0
Egypt,Gawdat al-Malt,812738952,Stub,97.0
Egypt,Mahmoud Abouelleil,812932744,Start,97.0
Egypt,Ester Fanous,813673515,Start,97.0
Egypt,Muhammad Ali Alluba,815401099,Stub,97.0
Egypt,Akhnoukh Fanous,815968623,Start,97.0
Egypt,Yousef Wali,816107764,Start,97.0
Egypt,Ahmad Fathy Zaghlul,816302168,Start,97.0
Egypt,Abdel Moneim Amin,816438794,Stub,97.0
Egypt,Saba Habachy,817465120,Start,97.0
Egypt,Ibrahim Munir Mustafa,818136637,C,97.0
Egypt,Heshmat Fahmi,818944138,Stub,97.0
Egypt,Mohammed Ragab Ahmad,818944189,Stub,97.0
Egypt,Mahmoud Wagdy,820120243,Stub,97.0
Egypt,Mamdouh Hosny Khalil,820386383,Stub,97.0
Egypt,Joseph de Picciotto Bey,820477886,Stub,97.0
Egypt,Maya Morsy,821001008,Start,97.0
Egypt,Mohammed Mahdi Akef,828300603,C,97.0
Egypt,Ahmed Zeiwar Pasha,828735650,Stub,97.0
Egypt,Samir Radwan,830692492,Start,97.0
Egypt,Maged George Elias Ghattas,832582882,Start,97.0
Egypt,Salah Dessouki,832898986,Start,97.0
Egypt,Mohammad Salim Al-Awa,833816724,Stub,97.0
Egypt,Farouk Sultan,833837311,Stub,97.0
Egypt,Amr Ali (youth leader),833890398,Stub,97.0
Egypt,Diaa al-Din Dawoud,834012314,C,97.0
Egypt,Muhammad Hamid Abu al-Nasr,834467219,Stub,97.0
